region_type,region,date,statistic,num_people
state,"Anhui, China (State/Province)",2020-01-27,deaths,0
state,"Anhui, China (State/Province)",2020-01-27,recovered,0
state,"Anhui, China (State/Province)",2020-01-28,active,106
state,"Anhui, China (State/Province)",2020-01-28,confirmed,106
state,"Anhui, China (State/Province)",2020-01-28,deaths,0
state,"Anhui, China (State/Province)",2020-01-28,recovered,0
state,"Anhui, China (State/Province)",2020-01-29,active,150
state,"Anhui, China (State/Province)",2020-01-29,confirmed,152
state,"Anhui, China (State/Province)",2020-01-29,deaths,0
state,"Anhui, China (State/Province)",2020-01-29,recovered,2
state,"Anhui, China (State/Province)",2020-01-30,active,198
state,"Anhui, China (State/Province)",2020-01-30,confirmed,200
state,"Anhui, China (State/Province)",2020-01-30,deaths,0
state,"Anhui, China (State/Province)",2020-01-30,recovered,2
state,"Anhui, China (State/Province)",2020-01-31,active,234
state,"Anhui, China (State/Province)",2020-01-31,confirmed,237
state,"Anhui, China (State/Province)",2020-01-31,deaths,0
state,"Anhui, China (State/Province)",2020-01-31,recovered,3
state,"Anhui, China (State/Province)",2020-02-01,active,292
state,"Anhui, China (State/Province)",2020-02-01,confirmed,297
state,"Anhui, China (State/Province)",2020-02-01,deaths,0
state,"Anhui, China (State/Province)",2020-02-01,recovered,5
state,"Anhui, China (State/Province)",2020-02-02,active,333
state,"Anhui, China (State/Province)",2020-02-02,confirmed,340
state,"Anhui, China (State/Province)",2020-02-02,deaths,0
state,"Anhui, China (State/Province)",2020-02-02,recovered,7
state,"Anhui, China (State/Province)",2020-02-03,active,394
state,"Anhui, China (State/Province)",2020-02-03,confirmed,408
state,"Anhui, China (State/Province)",2020-02-03,deaths,0
state,"Anhui, China (State/Province)",2020-02-03,recovered,14
state,"Anhui, China (State/Province)",2020-02-04,active,460
state,"Anhui, China (State/Province)",2020-02-04,confirmed,480
state,"Anhui, China (State/Province)",2020-02-04,deaths,0
state,"Anhui, China (State/Province)",2020-02-04,recovered,20
state,"Anhui, China (State/Province)",2020-02-05,active,507
state,"Anhui, China (State/Province)",2020-02-05,confirmed,530
state,"Anhui, China (State/Province)",2020-02-05,deaths,0
state,"Anhui, China (State/Province)",2020-02-05,recovered,23
state,"Anhui, China (State/Province)",2020-02-06,active,557
state,"Anhui, China (State/Province)",2020-02-06,confirmed,591
state,"Anhui, China (State/Province)",2020-02-06,deaths,0
state,"Anhui, China (State/Province)",2020-02-06,recovered,34
state,"Anhui, China (State/Province)",2020-02-07,active,618
state,"Anhui, China (State/Province)",2020-02-07,confirmed,665
state,"Anhui, China (State/Province)",2020-02-07,deaths,0
state,"Anhui, China (State/Province)",2020-02-07,recovered,47
state,"Anhui, China (State/Province)",2020-02-08,active,674
state,"Anhui, China (State/Province)",2020-02-08,confirmed,733
state,"Anhui, China (State/Province)",2020-02-08,deaths,0
state,"Anhui, China (State/Province)",2020-02-08,recovered,59
state,"Anhui, China (State/Province)",2020-02-09,active,706
state,"Anhui, China (State/Province)",2020-02-09,confirmed,779
state,"Anhui, China (State/Province)",2020-02-09,deaths,1
state,"Anhui, China (State/Province)",2020-02-09,recovered,72
state,"Anhui, China (State/Province)",2020-02-10,active,739
state,"Anhui, China (State/Province)",2020-02-10,confirmed,830
state,"Anhui, China (State/Province)",2020-02-10,deaths,3
state,"Anhui, China (State/Province)",2020-02-10,recovered,88
state,"Anhui, China (State/Province)",2020-02-11,active,751
state,"Anhui, China (State/Province)",2020-02-11,confirmed,860
state,"Anhui, China (State/Province)",2020-02-11,deaths,4
state,"Anhui, China (State/Province)",2020-02-11,recovered,105
state,"Anhui, China (State/Province)",2020-02-12,active,758
state,"Anhui, China (State/Province)",2020-02-12,confirmed,889
state,"Anhui, China (State/Province)",2020-02-12,deaths,4
state,"Anhui, China (State/Province)",2020-02-12,recovered,127
state,"Anhui, China (State/Province)",2020-02-13,active,748
state,"Anhui, China (State/Province)",2020-02-13,confirmed,910
state,"Anhui, China (State/Province)",2020-02-13,deaths,5
state,"Anhui, China (State/Province)",2020-02-13,recovered,157
state,"Anhui, China (State/Province)",2020-02-14,active,735
state,"Anhui, China (State/Province)",2020-02-14,confirmed,934
state,"Anhui, China (State/Province)",2020-02-14,deaths,6
state,"Anhui, China (State/Province)",2020-02-14,recovered,193
state,"Anhui, China (State/Province)",2020-02-15,active,723
state,"Anhui, China (State/Province)",2020-02-15,confirmed,950
state,"Anhui, China (State/Province)",2020-02-15,deaths,6
state,"Anhui, China (State/Province)",2020-02-15,recovered,221
state,"Anhui, China (State/Province)",2020-02-16,active,701
state,"Anhui, China (State/Province)",2020-02-16,confirmed,962
state,"Anhui, China (State/Province)",2020-02-16,deaths,6
state,"Anhui, China (State/Province)",2020-02-16,recovered,255
state,"Anhui, China (State/Province)",2020-02-17,active,687
state,"Anhui, China (State/Province)",2020-02-17,confirmed,973
state,"Anhui, China (State/Province)",2020-02-17,deaths,6
state,"Anhui, China (State/Province)",2020-02-17,recovered,280
state,"Anhui, China (State/Province)",2020-02-18,active,615
state,"Anhui, China (State/Province)",2020-02-18,confirmed,982
state,"Anhui, China (State/Province)",2020-02-18,deaths,6
state,"Anhui, China (State/Province)",2020-02-18,recovered,361
state,"Anhui, China (State/Province)",2020-02-19,active,567
state,"Anhui, China (State/Province)",2020-02-19,confirmed,986
state,"Anhui, China (State/Province)",2020-02-19,deaths,6
state,"Anhui, China (State/Province)",2020-02-19,recovered,413
state,"Anhui, China (State/Province)",2020-02-20,active,507
state,"Anhui, China (State/Province)",2020-02-20,confirmed,987
state,"Anhui, China (State/Province)",2020-02-20,deaths,6
state,"Anhui, China (State/Province)",2020-02-20,recovered,474
state,"Anhui, China (State/Province)",2020-02-21,active,443
state,"Anhui, China (State/Province)",2020-02-21,confirmed,988
state,"Anhui, China (State/Province)",2020-02-21,deaths,6
state,"Anhui, China (State/Province)",2020-02-21,recovered,539
state,"Anhui, China (State/Province)",2020-02-22,active,386
state,"Anhui, China (State/Province)",2020-02-22,confirmed,989
